locality,region,pop,proper
sand-springs,ok,20031,Sand Springs
sapulpa,ok,22580,Sapulpa
shawnee,ok,31720,Shawnee
stillwater,ok,49160,Stillwater
tulsa,ok,411867,Tulsa
yukon,ok,25556,Yukon
albany,or,56891,Albany
ashland,or,21285,Ashland
beaverton,or,97053,Beaverton
bend,or,103254,Bend
corvallis,or,60956,Corvallis
eugene,or,177923,Eugene
forest-grove,or,26784,Forest Grove
grants-pass,or,39079,Grants Pass
gresham,or,111621,Gresham
happy-valley,or,26456,Happy Valley
hillsboro,or,107299,Hillsboro
keizer,or,38704,Keizer
klamath-falls,or,21977,Klamath Falls
lake-oswego,or,40108,Lake Oswego
mcminnville,or,34530,McMinnville
medford,or,85556,Medford
milwaukie,or,21375,Milwaukie
newberg,or,25777,Newberg
oregon-city,or,37327,Oregon City
portland,or,635067,Portland
redmond,or,36409,Redmond
roseburg,or,23853,Roseburg
salem,or,177487,Salem
sherwood,or,20030,Sherwood
springfield,or,61400,Springfield
tigard,or,55762,Tigard
tualatin,or,27797,Tualatin
west-linn,or,26931,West Linn
wilsonville,or,26597,Wilsonville
woodburn,or,27290,Woodburn
allentown,pa,125094,Allentown
altoona,pa,43071,Altoona
baldwin,pa,20956,Baldwin
bethel-park,pa,32782,Bethel Park
bethlehem,pa,77617,Bethlehem
carlisle,pa,22203,Carlisle
chambersburg,pa,22172,Chambersburg
chester,pa,33449,Chester
easton,pa,30341,Easton
erie,pa,93511,Erie
harrisburg,pa,50183,Harrisburg
hazleton,pa,29993,Hazleton
lancaster,pa,57453,Lancaster
lebanon,pa,26473,Lebanon
monroeville,pa,28259,Monroeville
murrysville,pa,20724,Murrysville
new-castle,pa,21532,New Castle
norristown,pa,35795,Norristown
philadelphia,pa,1567258,Philadelphia
pittsburgh,pa,302898,Pittsburgh
plum,pa,26662,Plum
pottstown,pa,23377,Pottstown
reading,pa,94858,Reading
scranton,pa,75848,Scranton
state-college,pa,40745,State College
wilkes-barre,pa,44261,Wilkes-Barre
williamsport,pa,27403,Williamsport
york,pa,44845,York
central-falls,ri,22490,Central Falls
cranston,ri,82421,Cranston
east-providence,ri,46691,East Providence
newport,ri,24684,Newport
pawtucket,ri,75066,Pawtucket
providence,ri,189563,Providence
warwick,ri,83016,Warwick
woonsocket,ri,42942,Woonsocket
aiken,sc,32463,Aiken
anderson,sc,29771,Anderson
bluffton,sc,34493,Bluffton
charleston,sc,153672,Charleston
columbia,sc,139698,Columbia
conway,sc,27346,Conway
easley,sc,24463,Easley
florence,sc,40072,Florence
fort-mill,sc,30940,Fort Mill
goose-creek,sc,47618,Goose Creek
greenville,sc,72310,Greenville
greenwood,sc,22454,Greenwood
greer,sc,42090,Greer
hanahan,sc,21462,Hanahan
hilton-head-island,sc,38069,Hilton Head Island
lexington,sc,24626,Lexington
mauldin,sc,26918,Mauldin
mount-pleasant,sc,94545,Mount Pleasant
myrtle-beach,sc,38417,Myrtle Beach
north-augusta,sc,25258,North Augusta
north-charleston,sc,118608,North Charleston
rock-hill,sc,75349,Rock Hill
simpsonville,sc,26748,Simpsonville
spartanburg,sc,38584,Spartanburg
summerville,sc,51617,Summerville
sumter,sc,42757,Sumter
aberdeen,sd,28210,Aberdeen
brookings,sd,23993,Brookings
rapid-city,sd,78824,Rapid City
sioux-falls,sd,202078,Sioux Falls
watertown,sd,23019,Watertown
bartlett,tn,56798,Bartlett
brentwood,tn,45136,Brentwood
bristol,tn,27705,Bristol
chattanooga,tn,184086,Chattanooga
clarksville,tn,176974,Clarksville
cleveland,tn,48557,Cleveland
collierville,tn,51594,Collierville
columbia,tn,45792,Columbia
cookeville,tn,35988,Cookeville
east-ridge,tn,21936,East Ridge
farragut,tn,24817,Farragut
franklin,tn,86895,Franklin
gallatin,tn,48194,Gallatin
germantown,tn,40816,Germantown
hendersonville,tn,62896,Hendersonville
jackson,tn,68380,Jackson
johnson-city,tn,72514,Johnson City
kingsport,tn,56150,Kingsport
knoxville,tn,195889,Knoxville
la-vergne,tn,39281,La Vergne
lebanon,tn,44166,Lebanon
maryville,tn,32716,Maryville
memphis,tn,621056,Memphis
morristown,tn,31425,Morristown
mount-juliet,tn,42548,Mount Juliet
murfreesboro,tn,162398,Murfreesboro
nashville,tn,683622,Nashville
oak-ridge,tn,32614,Oak Ridge
shelbyville,tn,24452,Shelbyville
smyrna,tn,56516,Smyrna
spring-hill,tn,55800,Spring Hill
tullahoma,tn,20830,Tullahoma
abilene,tx,127385,Abilene
alamo,tx,20305,Alamo
allen,tx,111551,Allen
alvin,tx,28205,Alvin
amarillo,tx,201291,Amarillo
anna,tx,23558,Anna
arlington,tx,394602,Arlington
austin,tx,974447,Austin
balch-springs,tx,26947,Balch Springs
baytown,tx,84324,Baytown
beaumont,tx,112089,Beaumont
bedford,tx,48724,Bedford
belton,tx,24327,Belton
benbrook,tx,24437,Benbrook
big-spring,tx,25318,Big Spring
boerne,tx,20707,Boerne
brownsville,tx,189382,Brownsville
bryan,tx,87792,Bryan
burleson,tx,53381,Burleson
carrollton,tx,133820,Carrollton
cedar-hill,tx,48341,Cedar Hill
cedar-park,tx,77642,Cedar Park
celina,tx,34229,Celina
cibolo,tx,34814,Cibolo
cleburne,tx,33826,Cleburne
college-station,tx,124319,College Station
colleyville,tx,25850,Colleyville
conroe,tx,101405,Conroe
converse,tx,29603,Converse
coppell,tx,41926,Coppell
copperas-cove,tx,37964,Copperas Cove
corinth,tx,22875,Corinth
corpus-christi,tx,316239,Corpus Christi
corsicana,tx,25566,Corsicana
dallas,tx,1299544,Dallas
deer-park,tx,33468,Deer Park
del-rio,tx,34543,Del Rio
denison,tx,26328,Denison
denton,tx,150353,Denton
desoto,tx,55968,DeSoto
dickinson,tx,21738,Dickinson
duncanville,tx,39413,Duncanville
eagle-pass,tx,28255,Eagle Pass
edinburg,tx,104294,Edinburg
el-paso,tx,677456,El Paso
ennis,tx,22890,Ennis
euless,tx,60169,Euless
farmers-branch,tx,36286,Farmers Branch
fate,tx,22811,Fate
flower-mound,tx,78486,Flower Mound
forney,tx,32108,Forney
fort-worth,tx,956709,Fort Worth
friendswood,tx,40833,Friendswood
frisco,tx,219587,Frisco
fulshear,tx,34264,Fulshear
galveston,tx,53089,Galveston
garland,tx,240854,Garland
georgetown,tx,86507,Georgetown
grand-prairie,tx,201843,Grand Prairie
grapevine,tx,51226,Grapevine
greenville,tx,31060,Greenville
haltom-city,tx,45525,Haltom City
harker-heights,tx,34102,Harker Heights
harlingen,tx,71678,Harlingen
horizon-city,tx,23314,Horizon City
houston,tx,2302878,Houston
huntsville,tx,47351,Huntsville
hurst,tx,39634,Hurst
hutto,tx,36655,Hutto
irving,tx,254715,Irving
katy,tx,25253,Katy
keller,tx,45252,Keller
kerrville,tx,24752,Kerrville
killeen,tx,159172,Killeen
kingsville,tx,24833,Kingsville
kyle,tx,57470,Kyle
la-porte,tx,36569,La Porte
lake-jackson,tx,27668,Lake Jackson
lancaster,tx,40449,Lancaster
laredo,tx,256187,Laredo
league-city,tx,115418,League City
leander,tx,74375,Leander
lewisville,tx,131215,Lewisville
little-elm,tx,55357,Little Elm
longview,tx,82531,Longview
lubbock,tx,263930,Lubbock
lufkin,tx,34152,Lufkin
mansfield,tx,76724,Mansfield
marshall,tx,23641,Marshall
mcallen,tx,144579,McAllen
mckinney,tx,207507,McKinney
mesquite,tx,147899,Mesquite
midland,tx,134444,Midland
midlothian,tx,38635,Midlothian
mission,tx,86635,Mission
missouri-city,tx,76500,Missouri City
murphy,tx,21175,Murphy
nacogdoches,tx,31990,Nacogdoches
new-braunfels,tx,104707,New Braunfels
north-richland-hills,tx,70663,North Richland Hills
odessa,tx,112906,Odessa
paris,tx,24695,Paris
pasadena,tx,147662,Pasadena
pearland,tx,126949,Pearland
pflugerville,tx,65556,Pflugerville
pharr,tx,80179,Pharr
plano,tx,289547,Plano
port-arthur,tx,55579,Port Arthur
portland,tx,20350,Portland
princeton,tx,22900,Princeton
prosper,tx,37746,Prosper
richardson,tx,118802,Richardson
rockwall,tx,51461,Rockwall
rosenberg,tx,40739,Rosenberg
round-rock,tx,126697,Round Rock
rowlett,tx,65113,Rowlett
sachse,tx,30610,Sachse
saginaw,tx,25319,Saginaw
san-angelo,tx,99112,San Angelo
san-antonio,tx,1472909,San Antonio
san-benito,tx,24665,San Benito
san-juan,tx,35782,San Juan
san-marcos,tx,70301,San Marcos
schertz,tx,43010,Schertz
seguin,tx,33408,Seguin
sherman,tx,45264,Sherman
socorro,tx,37772,Socorro
southlake,tx,31102,Southlake
stephenville,tx,21641,Stephenville
sugar-land,tx,109414,Sugar Land
temple,tx,89458,Temple
terrell,tx,20050,Terrell
texarkana,tx,35778,Texarkana
